axis,model,n,n_distinct,mode,mode_share,normalized_entropy,mean,sd,mean_C2,mean_C3
fidelity,gpt-5.5,64,4,4.0,0.5312,0.7994,3.969,0.755,3.688,4.25
novelty,gpt-5.5,64,3,3.0,0.6719,0.7215,2.797,0.54,2.969,2.625
