condition,n,rho_len_luar,rho_len_negburrows,rho_len_distinct2,rho_luar_distinct2,partial_luar_distinct2,rho_negburrows_distinct2,partial_negburrows_distinct2,rho_luar_negburrows
C2,256,0.048,0.099,-0.229,-0.447,-0.449,0.137,0.165,0.17
C3,256,0.368,0.362,-0.029,-0.228,-0.233,0.193,0.218,0.195
