candidate_id,condition,ablation,prompt_id,n_idx,calibrated_luar,neg_burrows,burrows_delta,distinct_1,distinct_2,dual_repaired,dist_c1_centroid,heldout_fidelity,copy_rate,copy_flag
C2_none_p10_k0,C2,none,p10,0,-11.9781,-2.0484,2.0484,0.5905,0.9525,0.553,0.4976,0.041675,,
C2_none_p10_k1,C2,none,p10,1,-8.5004,-1.8491,1.8491,0.6011,0.9627,0.5056,0.4152,0.050627,,
C2_none_p10_k2,C2,none,p10,2,-9.3408,-2.047,2.047,0.6226,0.9448,0.4911,0.4694,0.045838,,
C2_none_p10_k3,C2,none,p10,3,-6.7242,-2.0809,2.0809,0.6011,0.9639,0.4649,0.4197,0.010892,,
C2_none_p10_k5,C2,none,p10,5,-7.1668,-2.0357,2.0357,0.5983,0.9465,0.4755,0.4948,0.022079,,
C2_none_p10_k6,C2,none,p10,6,-11.0992,-1.9582,1.9582,0.577,0.9607,0.4818,0.4904,0.024796,,
C2_none_p10_k4,C2,none,p10,4,-11.2516,-2.0008,2.0008,0.5897,0.9537,0.521,0.4933,0.037707,,
C2_none_p10_k7,C2,none,p10,7,-11.2845,-2.0573,2.0573,0.5862,0.9415,0.5255,0.414,0.023197,,
C2_none_p11_k0,C2,none,p11,0,-5.5341,-2.0402,2.0402,0.5874,0.9425,0.4881,0.3752,0.02358,,
C2_none_p11_k1,C2,none,p11,1,-11.2521,-1.9566,1.9566,0.6263,0.9623,0.4216,0.284,0.033351,,
C2_none_p11_k2,C2,none,p11,2,-7.6703,-1.8389,1.8389,0.6243,0.9496,0.4471,0.3391,0.03661,,
C2_none_p11_k3,C2,none,p11,3,-9.3959,-1.817,1.817,0.5755,0.9375,0.4924,0.2975,0.047947,,
C2_none_p11_k4,C2,none,p11,4,-5.422,-1.7624,1.7624,0.6037,0.9395,0.4229,0.3251,0.052368,,
C2_none_p11_k5,C2,none,p11,5,-7.7587,-2.0438,2.0438,0.6113,0.9651,0.4642,0.3484,0.026965,,
C2_none_p11_k6,C2,none,p11,6,-8.0243,-1.9114,1.9114,0.6098,0.962,0.4213,0.2959,0.035505,,
C2_none_p11_k7,C2,none,p11,7,-7.1459,-2.0671,2.0671,0.5802,0.9517,0.3951,0.3176,0.040728,,
C2_none_p12_k0,C2,none,p12,0,-6.1381,-1.8074,1.8074,0.595,0.9503,0.3507,0.4887,0.04903,,
C2_none_p12_k1,C2,none,p12,1,-7.9217,-1.9826,1.9826,0.6139,0.957,0.3337,0.5298,0.024109,,
C2_none_p12_k2,C2,none,p12,2,-8.4254,-2.1145,2.1145,0.5623,0.9361,0.3729,0.4705,0.022228,,
C2_none_p12_k4,C2,none,p12,4,-11.1168,-1.8971,1.8971,0.6087,0.9651,0.4201,0.4596,0.033766,,
C2_none_p12_k3,C2,none,p12,3,-9.1499,-1.9073,1.9073,0.6063,0.95,0.3267,0.4576,0.025296,,
C2_none_p12_k5,C2,none,p12,5,-10.9183,-1.819,1.819,0.6072,0.9637,0.369,0.4224,0.02369,,
C2_none_p12_k6,C2,none,p12,6,-10.2506,-1.8502,1.8502,0.6298,0.9584,0.4057,0.5311,0.023608,,
C2_none_p12_k7,C2,none,p12,7,-8.1193,-1.9111,1.9111,0.581,0.9468,0.3152,0.4381,0.033812,,
C2_none_p13_k0,C2,none,p13,0,-7.3438,-2.009,2.009,0.5978,0.9475,0.5353,0.6009,0.039054,,
C2_none_p13_k1,C2,none,p13,1,-6.3254,-1.9458,1.9458,0.6221,0.9534,0.5705,0.5696,0.040532,,
C2_none_p13_k2,C2,none,p13,2,-8.4115,-1.9864,1.9864,0.6098,0.9511,0.4377,0.5176,0.018417,,
C2_none_p13_k4,C2,none,p13,4,-6.7186,-2.1293,2.1293,0.569,0.9193,0.4929,0.5714,0.016779,,
C2_none_p13_k3,C2,none,p13,3,-6.7999,-1.8881,1.8881,0.5885,0.9325,0.5254,0.5601,0.038317,,
C2_none_p13_k7,C2,none,p13,7,-6.2975,-2.0638,2.0638,0.573,0.9187,0.5995,0.589,0.018824,,
C2_none_p13_k5,C2,none,p13,5,-4.5879,-2.0892,2.0892,0.5706,0.9306,0.5288,0.5569,0.002053,,
C2_none_p13_k6,C2,none,p13,6,-2.7671,-2.2294,2.2294,0.5296,0.9191,0.5337,0.5492,0.027116,,
C2_none_p14_k0,C2,none,p14,0,-5.4279,-1.8662,1.8662,0.5921,0.942,0.5328,0.4024,0.01505,,
C2_none_p14_k1,C2,none,p14,1,-7.5744,-1.8048,1.8048,0.5926,0.9629,0.4511,0.4625,0.023486,,
C2_none_p14_k2,C2,none,p14,2,-6.3706,-2.0821,2.0821,0.5608,0.9204,0.5637,0.3955,0.018146,,
C2_none_p14_k5,C2,none,p14,5,-6.8512,-1.9001,1.9001,0.6202,0.9673,0.4721,0.4382,0.009014,,
C2_none_p14_k3,C2,none,p14,3,-4.38,-2.1327,2.1327,0.5722,0.9437,0.514,0.4397,0.014937,,
C2_none_p14_k4,C2,none,p14,4,-4.0388,-2.0561,2.0561,0.5585,0.952,0.4878,0.4102,0.015253,,
C2_none_p14_k6,C2,none,p14,6,-5.1414,-1.7695,1.7695,0.6058,0.9576,0.5449,0.4242,0.013077,,
C2_none_p14_k7,C2,none,p14,7,-4.4159,-1.8223,1.8223,0.5979,0.9462,0.4808,0.4623,0.024076,,
C2_none_p15_k0,C2,none,p15,0,-12.825,-1.9045,1.9045,0.6192,0.9688,0.2375,0.5143,0.025756,,
C2_none_p15_k1,C2,none,p15,1,-3.1433,-2.0966,2.0966,0.6176,0.9631,0.2531,0.4691,0.017955,,
C2_none_p15_k2,C2,none,p15,2,-8.8427,-2.1813,2.1813,0.5594,0.9286,0.3281,0.4969,0.021264,,
C2_none_p15_k5,C2,none,p15,5,-11.8868,-2.0371,2.0371,0.6243,0.966,0.2817,0.4223,0.029782,,
C2_none_p15_k3,C2,none,p15,3,-7.1561,-2.0873,2.0873,0.6061,0.9696,0.2878,0.539,0.024409,,
C2_none_p15_k4,C2,none,p15,4,-5.3575,-2.1318,2.1318,0.6165,0.9487,0.3295,0.5394,0.035021,,
C2_none_p15_k6,C2,none,p15,6,-10.2112,-2.0075,2.0075,0.5553,0.9378,0.3419,0.537,0.013944,,
C2_none_p15_k7,C2,none,p15,7,-7.8247,-2.0199,2.0199,0.611,0.9423,0.2821,0.4799,0.018763,,
C3_full_p00_k3,C3,full,p00,3,-0.3645,-1.9092,1.9092,0.5326,0.8901,0.3298,0.4442,0.047325,0.0384,False
C3_full_p00_k2,C3,full,p00,2,-1.5036,-1.9181,1.9181,0.5799,0.9354,0.4182,0.4953,0.048389,0.0345,False
C3_full_p00_k4,C3,full,p00,4,-2.6235,-1.8583,1.8583,0.5737,0.9077,0.3496,0.4716,0.045496,0.0103,False
C3_full_p00_k5,C3,full,p00,5,-0.8344,-1.8246,1.8246,0.5419,0.9188,0.3471,0.5356,0.040091,0.0401,False
C3_full_p00_k6,C3,full,p00,6,-0.6385,-1.9751,1.9751,0.5364,0.9081,0.3268,0.4935,0.03543,0.0392,False
C3_full_p00_k7,C3,full,p00,7,-1.5832,-1.8418,1.8418,0.5435,0.8747,0.3844,0.4977,0.024741,0.0394,False
C3_full_p01_k0,C3,full,p01,0,-2.5006,-1.8945,1.8945,0.5565,0.9272,0.4605,0.3713,0.031274,0.0052,False
C3_full_p01_k3,C3,full,p01,3,-2.2601,-1.9004,1.9004,0.5521,0.9295,0.4845,0.488,0.045114,0.0051,False
C3_full_p01_k2,C3,full,p01,2,-1.8353,-1.9578,1.9578,0.5506,0.9219,0.5691,0.4863,0.044791,0.0051,False
C3_full_p01_k1,C3,full,p01,1,-2.3813,-1.9657,1.9657,0.5491,0.9149,0.4585,0.4498,0.040764,0.0052,False
C3_full_p01_k4,C3,full,p01,4,-2.7998,-1.9056,1.9056,0.5845,0.9435,0.4854,0.4601,0.054712,0.0052,False
C3_full_p01_k5,C3,full,p01,5,-0.972,-1.9358,1.9358,0.5515,0.9259,0.4858,0.4598,0.041051,0.0051,False
C3_full_p01_k6,C3,full,p01,6,-3.618,-1.9327,1.9327,0.5344,0.8859,0.4733,0.3757,0.047799,0.0052,False
C3_full_p01_k7,C3,full,p01,7,-1.8499,-2.0638,2.0638,0.5749,0.941,0.4876,0.395,0.043966,0.0104,False
C3_full_p02_k0,C3,full,p02,0,-3.2362,-1.8638,1.8638,0.586,0.9434,0.2336,0.5812,0.049925,0.0174,False
C3_full_p02_k3,C3,full,p02,3,-3.1407,-1.684,1.684,0.578,0.9256,0.2937,0.6292,0.04637,0.0326,False
C3_full_p02_k2,C3,full,p02,2,-1.6579,-1.9012,1.9012,0.5862,0.9495,0.2176,0.589,0.060327,0.0261,False
C3_full_p02_k1,C3,full,p02,1,-2.5737,-2.0008,2.0008,0.5389,0.9032,0.2566,0.6227,0.047878,0.0157,False
C3_full_p02_k4,C3,full,p02,4,-2.3572,-1.8361,1.8361,0.5947,0.942,0.262,0.6305,0.041792,0.0628,False
C3_full_p02_k5,C3,full,p02,5,-3.4617,-1.7698,1.7698,0.5622,0.9377,0.2993,0.6066,0.058956,0.0528,False
C3_full_p02_k6,C3,full,p02,6,-2.6632,-1.7919,1.7919,0.602,0.952,0.2261,0.6022,0.048667,0.0083,False
C3_full_p02_k7,C3,full,p02,7,-2.7837,-1.8252,1.8252,0.6102,0.9542,0.2729,0.5551,0.040607,0.0336,False
C3_full_p03_k0,C3,full,p03,0,-1.8658,-1.7522,1.7522,0.5619,0.9302,0.3668,0.5272,0.057176,0.0153,False
C3_full_p03_k1,C3,full,p03,1,-2.7361,-1.8704,1.8704,0.5937,0.9365,0.3455,0.4699,0.049246,0.0155,False
C3_full_p03_k3,C3,full,p03,3,-1.1615,-1.8651,1.8651,0.5989,0.9477,0.3592,0.5448,0.044305,0.0213,False
C3_full_p03_k2,C3,full,p03,2,-2.5855,-1.8865,1.8865,0.5659,0.9301,0.4395,0.5605,0.045329,0.0153,False
C3_full_p03_k4,C3,full,p03,4,-3.6556,-1.9565,1.9565,0.5805,0.9365,0.4363,0.6063,0.047038,0.0068,False
C3_full_p03_k6,C3,full,p03,6,-3.3206,-1.8997,1.8997,0.5962,0.9477,0.3376,0.4354,0.047362,0.0105,False
C3_full_p03_k5,C3,full,p03,5,-2.1754,-1.773,1.773,0.604,0.9347,0.3808,0.4394,0.04871,0.0269,False
C3_full_p03_k7,C3,full,p03,7,-2.6835,-1.744,1.744,0.5819,0.9495,0.3709,0.5415,0.042838,0.0167,False
C3_full_p04_k0,C3,full,p04,0,-2.4187,-1.8192,1.8192,0.5532,0.904,0.4865,0.4849,0.047341,0.0034,False
C3_full_p04_k1,C3,full,p04,1,-4.9136,-1.8989,1.8989,0.5623,0.9335,0.4458,0.4073,0.024762,0.0052,False
C3_full_p04_k3,C3,full,p04,3,-4.8472,-1.8732,1.8732,0.5526,0.9393,0.4739,0.4019,0.046305,0.0052,False
C3_full_p04_k2,C3,full,p04,2,-3.5825,-1.7072,1.7072,0.5503,0.9231,0.5085,0.4209,0.054135,0.0017,False
C3_full_p04_k5,C3,full,p04,5,-4.8268,-1.8195,1.8195,0.5508,0.9249,0.441,0.4068,0.053325,0.0017,False
C3_full_p04_k6,C3,full,p04,6,-1.6979,-1.9398,1.9398,0.5614,0.9319,0.5492,0.4551,0.046998,0.0051,False
C3_full_p04_k4,C3,full,p04,4,-1.3175,-1.9202,1.9202,0.5654,0.9291,0.4983,0.3948,0.041253,0.0051,False
C3_full_p04_k7,C3,full,p04,7,-5.187,-1.7303,1.7303,0.5847,0.9337,0.4798,0.498,0.029843,0.0052,False
C3_full_p05_k0,C3,full,p05,0,-0.799,-1.9003,1.9003,0.5513,0.9206,0.208,0.4932,0.068629,0.0128,False
C3_full_p05_k2,C3,full,p05,2,-1.7659,-1.8626,1.8626,0.5849,0.9188,0.3687,0.5139,0.051539,0.0137,False
C3_full_p05_k1,C3,full,p05,1,-1.4425,-1.8512,1.8512,0.5636,0.9219,0.375,0.5821,0.059478,0.0067,False
C3_full_p05_k3,C3,full,p05,3,-0.0443,-1.7341,1.7341,0.5617,0.9079,0.2643,0.4401,0.056917,0.0137,False
C3_full_p05_k4,C3,full,p05,4,-0.4921,-1.8509,1.8509,0.5692,0.9136,0.2554,0.4808,0.070598,0.0206,False
C3_full_p05_k5,C3,full,p05,5,-2.8705,-2.0696,2.0696,0.545,0.8934,0.3064,0.4263,0.066885,0.0105,False
C3_full_p05_k6,C3,full,p05,6,-0.5282,-1.8306,1.8306,0.5707,0.9278,0.2442,0.4429,0.070964,0.0209,False
C3_full_p05_k7,C3,full,p05,7,-1.7603,-1.9028,1.9028,0.5808,0.9451,0.3048,0.48,0.063818,0.0087,False
C3_full_p06_k0,C3,full,p06,0,-1.9007,-1.9141,1.9141,0.5722,0.9211,0.4611,0.3684,0.041842,0.0052,False
C3_full_p06_k1,C3,full,p06,1,-0.9348,-1.9748,1.9748,0.5619,0.9225,0.4362,0.4595,0.035588,0.0051,False
C3_full_p06_k3,C3,full,p06,3,-1.3104,-1.9526,1.9526,0.557,0.9229,0.4809,0.4414,0.049912,0.0052,False
C3_full_p06_k2,C3,full,p06,2,-0.9102,-1.8912,1.8912,0.5512,0.9237,0.4641,0.3622,0.045028,0.0017,False
C3_full_p06_k5,C3,full,p06,5,-1.081,-1.8936,1.8936,0.5501,0.9239,0.4337,0.3937,0.057654,0.0017,False
C3_full_p06_k4,C3,full,p06,4,-2.7138,-1.8748,1.8748,0.578,0.938,0.44,0.3616,0.027726,0.0052,False
C3_full_p06_k6,C3,full,p06,6,-1.4438,-1.879,1.879,0.5714,0.9337,0.4713,0.4167,0.034227,0.0052,False
C3_full_p06_k7,C3,full,p06,7,-0.7745,-1.7313,1.7313,0.5733,0.9149,0.4931,0.4219,0.052417,0.0051,False
C3_full_p07_k0,C3,full,p07,0,-0.1123,-1.9772,1.9772,0.5596,0.9221,0.2522,0.4644,0.061723,0.0067,False
C3_full_p07_k1,C3,full,p07,1,-0.3828,-1.883,1.883,0.5824,0.9394,0.2706,0.5157,0.055906,0.0088,False
C3_full_p07_k2,C3,full,p07,2,-0.7952,-1.9154,1.9154,0.5725,0.9247,0.2763,0.4844,0.069366,0.0051,False
C3_full_p07_k4,C3,full,p07,4,-2.0319,-1.9615,1.9615,0.5778,0.8969,0.2995,0.445,0.064117,0.0053,False
C3_full_p07_k3,C3,full,p07,3,-2.0129,-1.8696,1.8696,0.5842,0.9472,0.2857,0.4875,0.053187,0.0085,False
C3_full_p07_k5,C3,full,p07,5,-1.4252,-1.8894,1.8894,0.5573,0.9217,0.2872,0.4164,0.05998,0.0051,False
C3_full_p07_k6,C3,full,p07,6,-1.4598,-1.9735,1.9735,0.5497,0.9239,0.3315,0.5012,0.076075,0.0052,False
C3_full_p07_k7,C3,full,p07,7,-1.7533,-1.8078,1.8078,0.5963,0.941,0.2384,0.417,0.064674,0.0086,False
C3_full_p08_k0,C3,full,p08,0,-1.1418,-2.0577,2.0577,0.6022,0.9607,0.3905,0.4609,0.041017,0.0054,False
C3_full_p08_k1,C3,full,p08,1,-2.9601,-1.9189,1.9189,0.5714,0.931,0.3397,0.5408,0.044687,0.0017,False
C3_full_p08_k4,C3,full,p08,4,-2.653,-1.88,1.88,0.5853,0.9289,0.3498,0.4711,0.030611,0.0102,False
C3_full_p08_k2,C3,full,p08,2,-0.5667,-1.9877,1.9877,0.5927,0.9465,0.3161,0.5249,0.044024,0.0162,False
C3_full_p08_k3,C3,full,p08,3,-2.0412,-1.935,1.935,0.5706,0.9306,0.3051,0.4649,0.04565,0.0055,False
C3_full_p08_k5,C3,full,p08,5,-1.4626,-1.9324,1.9324,0.5638,0.9147,0.3909,0.5185,0.036414,0.0191,False
C3_full_p08_k6,C3,full,p08,6,-3.5886,-1.9367,1.9367,0.5696,0.9289,0.3499,0.5225,0.040112,0.0137,False
C3_full_p09_k0,C3,full,p09,0,-3.822,-1.9247,1.9247,0.5559,0.9253,0.4087,0.4189,0.029905,0.0051,False
C3_full_p08_k7,C3,full,p08,7,-2.3344,-1.8508,1.8508,0.5879,0.9553,0.3189,0.5295,0.053596,0.0052,False
C3_full_p09_k1,C3,full,p09,1,-2.3373,-1.9739,1.9739,0.5667,0.9486,0.423,0.3737,0.055094,0.0084,False
C3_full_p09_k4,C3,full,p09,4,-2.8196,-2.0195,2.0195,0.5553,0.9162,0.4421,0.4983,0.030464,0.0087,False
C3_full_p09_k3,C3,full,p09,3,-1.9424,-1.9963,1.9963,0.5782,0.9362,0.444,0.4153,0.031171,0.0052,False
C3_full_p09_k2,C3,full,p09,2,-4.8241,-1.9836,1.9836,0.5558,0.9401,0.447,0.4453,0.030779,0.0102,False
C3_full_p09_k5,C3,full,p09,5,-4.1583,-1.8238,1.8238,0.5438,0.9457,0.451,0.404,0.037194,0.0101,False
C3_full_p09_k6,C3,full,p09,6,-2.119,-1.6632,1.6632,0.5639,0.9497,0.4083,0.4365,0.042706,0.0083,False
C3_full_p09_k7,C3,full,p09,7,-2.1397,-1.7721,1.7721,0.555,0.9108,0.4407,0.4553,0.047353,0.0052,False
C3_full_p10_k0,C3,full,p10,0,-2.9106,-2.0403,2.0403,0.5603,0.9301,0.4476,0.4946,0.048055,0.0052,False
C3_full_p10_k1,C3,full,p10,1,-1.5348,-1.9785,1.9785,0.557,0.9069,0.3952,0.4842,0.032898,0.0052,False
C3_full_p10_k3,C3,full,p10,3,-2.8592,-1.8447,1.8447,0.5559,0.9153,0.4276,0.4493,0.047501,0.0035,False
C3_full_p10_k2,C3,full,p10,2,-3.077,-1.8113,1.8113,0.5285,0.913,0.4338,0.5002,0.046444,0.0035,False
C3_full_p10_k4,C3,full,p10,4,-2.4288,-1.8907,1.8907,0.5591,0.9158,0.4117,0.4322,0.043034,0.0052,False
C3_full_p10_k5,C3,full,p10,5,-3.0804,-1.8946,1.8946,0.5707,0.9011,0.4027,0.4488,0.036534,0.0052,False
C3_full_p10_k7,C3,full,p10,7,-1.8322,-1.9267,1.9267,0.5481,0.9427,0.4189,0.485,0.043925,0.0017,False
C3_full_p10_k6,C3,full,p10,6,-1.5417,-1.9605,1.9605,0.5833,0.9582,0.3545,0.5405,0.023172,0.0051,False
C3_full_p11_k0,C3,full,p11,0,-2.7367,-1.8001,1.8001,0.5619,0.9199,0.4015,0.3934,0.055515,0.0084,False
C3_full_p11_k1,C3,full,p11,1,-2.0151,-1.8725,1.8725,0.568,0.9144,0.4419,0.4053,0.046424,0.0052,False
C3_full_p11_k2,C3,full,p11,2,-1.6082,-1.8459,1.8459,0.55,0.9098,0.428,0.3927,0.042103,0.005,False
C3_full_p11_k3,C3,full,p11,3,-2.0717,-1.783,1.783,0.5721,0.9302,0.3903,0.4269,0.043449,0.0132,False
C3_full_p11_k4,C3,full,p11,4,-1.1058,-1.9412,1.9412,0.5282,0.8843,0.3293,0.4527,0.05196,0.005,False
C3_full_p11_k5,C3,full,p11,5,-3.3131,-1.9623,1.9623,0.5553,0.9244,0.466,0.4346,0.044054,0.005,False
C3_full_p11_k6,C3,full,p11,6,-3.2913,-1.9135,1.9135,0.5928,0.925,0.4462,0.3943,0.026599,0.0053,False
C3_full_p11_k7,C3,full,p11,7,-2.3984,-1.9606,1.9606,0.5415,0.9195,0.4397,0.413,0.037677,0.0084,False
C3_full_p12_k0,C3,full,p12,0,-2.0923,-2.0431,2.0431,0.5259,0.9117,0.2867,0.5666,0.042045,0.0017,False
C3_full_p12_k1,C3,full,p12,1,-2.8563,-1.9429,1.9429,0.5781,0.9347,0.3386,0.524,0.02591,0.0051,False
C3_full_p12_k3,C3,full,p12,3,-2.1888,-1.8841,1.8841,0.533,0.918,0.3399,0.5783,0.021185,0.0368,False
C3_full_p12_k2,C3,full,p12,2,-7.6846,-1.9729,1.9729,0.5667,0.946,0.3217,0.5669,0.026304,0.0118,False
C3_full_p12_k4,C3,full,p12,4,-3.4819,-1.7588,1.7588,0.5768,0.9192,0.3575,0.5467,0.022481,0.005,False
C3_full_p12_k5,C3,full,p12,5,-3.087,-1.9351,1.9351,0.5514,0.9377,0.3177,0.5255,0.024849,0.0053,False
C3_full_p12_k6,C3,full,p12,6,-2.5243,-1.9723,1.9723,0.5559,0.896,0.3782,0.5669,0.038649,0.0086,False
C3_full_p12_k7,C3,full,p12,7,-2.1104,-2.0003,2.0003,0.5337,0.9091,0.4033,0.5646,0.036961,0.0051,False
C3_full_p13_k1,C3,full,p13,1,-2.5458,-1.7866,1.7866,0.5836,0.9313,0.3513,0.6123,0.039189,0.0286,False
C3_full_p13_k0,C3,full,p13,0,-2.6584,-1.8928,1.8928,0.5703,0.9191,0.4184,0.5504,0.048777,0.0295,False
C3_full_p13_k2,C3,full,p13,2,-2.197,-1.9014,1.9014,0.5673,0.9339,0.3061,0.529,0.045578,0.0592,False
C3_full_p13_k3,C3,full,p13,3,-1.6864,-1.942,1.942,0.5903,0.9486,0.2817,0.5278,0.041144,0.062,False
C3_full_p13_k4,C3,full,p13,4,-2.2164,-1.9113,1.9113,0.5656,0.9381,0.2648,0.5566,0.055891,0.0638,False
C3_full_p13_k5,C3,full,p13,5,-1.4331,-1.792,1.792,0.5522,0.9286,0.3061,0.5175,0.056223,0.0544,False
C3_full_p13_k6,C3,full,p13,6,-2.4641,-2.0248,2.0248,0.562,0.934,0.3098,0.5615,0.051561,0.0271,False
C3_full_p13_k7,C3,full,p13,7,-0.9065,-1.7617,1.7617,0.6026,0.9551,0.3071,0.5069,0.04586,0.0442,False
C3_full_p14_k1,C3,full,p14,1,-2.6642,-1.8376,1.8376,0.5653,0.9225,0.5238,0.4169,0.026514,0.0017,False
C3_full_p14_k0,C3,full,p14,0,-2.4567,-1.9691,1.9691,0.5633,0.9135,0.4937,0.4625,0.04413,0.0052,False
C3_full_p14_k2,C3,full,p14,2,-0.544,-1.8075,1.8075,0.5702,0.907,0.5072,0.4431,0.040883,0.0054,False
C3_full_p14_k3,C3,full,p14,3,-3.658,-1.9391,1.9391,0.5514,0.916,0.5346,0.3976,0.050536,0.0053,False
C3_full_p14_k4,C3,full,p14,4,-2.0862,-1.856,1.856,0.5401,0.9378,0.4645,0.4959,0.040434,0.0017,False
C3_full_p14_k5,C3,full,p14,5,-2.9739,-1.9175,1.9175,0.5395,0.8934,0.5237,0.4217,0.042869,0.0053,False
C3_full_p14_k6,C3,full,p14,6,-2.4679,-1.9282,1.9282,0.527,0.8916,0.5254,0.4916,0.043431,0.0053,False
C3_full_p14_k7,C3,full,p14,7,-3.4347,-1.803,1.803,0.5863,0.9368,0.5202,0.3953,0.042629,0.0053,False
C3_full_p15_k0,C3,full,p15,0,-1.8084,-1.9416,1.9416,0.5663,0.9412,0.3691,0.4715,0.034658,0.0083,False
C3_full_p15_k1,C3,full,p15,1,-2.0259,-2.025,2.025,0.5535,0.9162,0.3666,0.4461,0.04915,0.0102,False
C3_full_p15_k2,C3,full,p15,2,-3.3752,-2.0413,2.0413,0.5279,0.916,0.3761,0.3965,0.035192,0.01,False
C3_full_p15_k4,C3,full,p15,4,-2.388,-1.8567,1.8567,0.5587,0.9309,0.4105,0.4638,0.031707,0.01,False
C3_full_p15_k3,C3,full,p15,3,-3.4292,-2.0146,2.0146,0.5236,0.9003,0.3615,0.4327,0.040286,0.0068,False
C3_full_p15_k6,C3,full,p15,6,-3.1409,-1.8591,1.8591,0.5597,0.9202,0.4041,0.4551,0.04682,0.0138,False
C3_full_p15_k5,C3,full,p15,5,-4.7194,-1.9271,1.9271,0.5426,0.9119,0.3471,0.4363,0.04127,0.0153,False
C3_full_p15_k7,C3,full,p15,7,-3.6404,-2.0959,2.0959,0.5804,0.9563,0.4622,0.5364,0.044533,0.0105,False
C3_none_p00_k0,C3,none,p00,0,0.5511,-2.0794,2.0794,0.5079,0.876,0.304,0.5148,0.03736,0.012,False
C3_none_p00_k1,C3,none,p00,1,-3.8654,-1.8837,1.8837,0.5408,0.9128,0.3359,0.4761,0.018811,0.0052,False
C3_none_p00_k2,C3,none,p00,2,-3.9826,-2.1798,2.1798,0.5452,0.8943,0.2739,0.5025,0.041071,0.0,False
C3_none_p00_k4,C3,none,p00,4,-1.8616,-1.9012,1.9012,0.547,0.9171,0.258,0.4473,0.051323,0.0,False
C3_none_p00_k3,C3,none,p00,3,-2.8297,-1.9066,1.9066,0.5516,0.9101,0.2697,0.4564,0.025805,0.0105,False
C3_none_p00_k5,C3,none,p00,5,-2.5567,-1.8751,1.8751,0.5565,0.9137,0.3496,0.4696,0.025696,0.0192,False
C3_none_p00_k6,C3,none,p00,6,-2.3232,-2.1714,2.1714,0.5323,0.9003,0.3262,0.4488,0.032153,0.0122,False
C3_none_p00_k7,C3,none,p00,7,-1.4807,-2.1059,2.1059,0.5089,0.8716,0.3165,0.4695,0.040452,0.0167,False
C3_none_p01_k1,C3,none,p01,1,-8.4468,-1.8046,1.8046,0.5956,0.937,0.494,0.3999,0.057506,0.0018,False
C3_none_p01_k2,C3,none,p01,2,-11.9683,-1.9442,1.9442,0.5623,0.9361,0.495,0.4022,0.048564,0.0035,False
C3_none_p01_k0,C3,none,p01,0,-3.6425,-2.0519,2.0519,0.5699,0.9203,0.4691,0.4255,0.039975,0.0035,False
C3_none_p01_k4,C3,none,p01,4,-7.7629,-2.0162,2.0162,0.5643,0.9368,0.5025,0.329,0.048333,0.0051,False
C3_none_p01_k6,C3,none,p01,6,-2.4612,-1.8529,1.8529,0.5917,0.9499,0.4885,0.3794,0.033094,0.0053,False
C3_none_p01_k5,C3,none,p01,5,-12.0943,-1.831,1.831,0.5961,0.9441,0.4139,0.3985,0.04938,0.0018,False
C3_none_p01_k7,C3,none,p01,7,-11.9224,-1.8566,1.8566,0.5698,0.9457,0.5175,0.3676,0.048327,0.0126,False
C3_none_p01_k3,C3,none,p01,3,-11.3036,-1.9778,1.9778,0.5691,0.9418,0.4614,0.398,0.058864,0.0017,False
C3_none_p02_k1,C3,none,p02,1,-6.5547,-1.926,1.926,0.535,0.8764,0.1859,0.5328,0.038676,0.0143,False
C3_none_p02_k0,C3,none,p02,0,-6.535,-2.1032,2.1032,0.5599,0.9358,0.1866,0.5386,0.038399,0.0196,False
C3_none_p02_k2,C3,none,p02,2,-8.5719,-1.9728,1.9728,0.5753,0.9588,0.1912,0.5802,0.041133,0.0212,False
C3_none_p02_k4,C3,none,p02,4,-7.0696,-1.917,1.917,0.562,0.9418,0.1942,0.4919,0.046402,0.0207,False
C3_none_p02_k3,C3,none,p02,3,-9.6016,-1.8959,1.8959,0.571,0.957,0.2266,0.4735,0.033632,0.0139,False
C3_none_p02_k5,C3,none,p02,5,-8.5861,-1.9273,1.9273,0.5553,0.9261,0.1728,0.5306,0.046217,0.0137,False
C3_none_p02_k6,C3,none,p02,6,-3.8498,-2.0645,2.0645,0.5866,0.9272,0.2097,0.5207,0.040484,0.0215,False
C3_none_p02_k7,C3,none,p02,7,-1.845,-1.979,1.979,0.5707,0.9251,0.206,0.5267,0.029029,0.0353,False
C3_none_p03_k1,C3,none,p03,1,-3.9545,-1.8291,1.8291,0.5847,0.9359,0.2587,0.6232,0.05656,0.0155,False
C3_none_p03_k0,C3,none,p03,0,-2.5711,-1.9631,1.9631,0.5676,0.9149,0.2081,0.5205,0.054258,0.0138,False
C3_none_p03_k2,C3,none,p03,2,-4.7468,-1.8549,1.8549,0.6208,0.9718,0.1959,0.5357,0.043424,0.0143,False
C3_none_p03_k3,C3,none,p03,3,-1.7364,-1.9946,1.9946,0.5417,0.8997,0.3353,0.5726,0.060099,0.0215,False
C3_none_p03_k4,C3,none,p03,4,-5.0089,-2.0172,2.0172,0.5977,0.9561,0.2648,0.4688,0.048575,0.0018,False
C3_none_p03_k5,C3,none,p03,5,-1.0325,-1.8356,1.8356,0.5899,0.9408,0.336,0.4692,0.039295,0.0143,False
