candidate_id,condition,ablation,prompt_id,n_idx,calibrated_luar,neg_burrows,burrows_delta,distinct_1,distinct_2,dual_repaired,dist_c1_centroid,heldout_fidelity,copy_rate,copy_flag
C2_full_p05_k6,C2,full,p05,6,-2.2608,-1.9668,1.9668,0.5644,0.9276,0.2721,0.3777,0.058703,,
C2_full_p05_k7,C2,full,p05,7,-1.1238,-1.8646,1.8646,0.571,0.9385,0.247,0.4327,0.049304,,
C2_full_p06_k0,C2,full,p06,0,-2.8582,-1.9779,1.9779,0.577,0.9319,0.4453,0.4921,0.045148,,
C2_full_p06_k1,C2,full,p06,1,-0.7272,-1.8728,1.8728,0.6243,0.9462,0.4609,0.4288,0.030448,,
C2_full_p06_k2,C2,full,p06,2,-1.4026,-2.0545,2.0545,0.5907,0.9229,0.4732,0.4203,0.03742,,
C2_full_p06_k3,C2,full,p06,3,-2.6929,-2.0075,2.0075,0.5438,0.9251,0.4648,0.4062,0.040496,,
C2_full_p06_k4,C2,full,p06,4,-3.8353,-1.7758,1.7758,0.6283,0.9464,0.4297,0.3963,0.056192,,
C2_full_p06_k5,C2,full,p06,5,-1.9259,-1.9236,1.9236,0.5911,0.9373,0.4543,0.3922,0.045337,,
C2_full_p06_k6,C2,full,p06,6,-2.0208,-2.022,2.022,0.574,0.9349,0.4411,0.386,0.043085,,
C2_full_p06_k7,C2,full,p06,7,-2.482,-1.7538,1.7538,0.5903,0.9243,0.4763,0.4494,0.031638,,
C2_full_p07_k1,C2,full,p07,1,-1.1163,-1.9739,1.9739,0.5829,0.9383,0.2537,0.4505,0.072833,,
C2_full_p07_k0,C2,full,p07,0,-2.1979,-1.7554,1.7554,0.6,0.9332,0.3126,0.4287,0.064573,,
C2_full_p07_k2,C2,full,p07,2,-0.9458,-1.7954,1.7954,0.5691,0.9103,0.2572,0.4453,0.055015,,
C2_full_p07_k3,C2,full,p07,3,0.1892,-1.7894,1.7894,0.5722,0.9437,0.2868,0.4432,0.052283,,
C2_full_p07_k5,C2,full,p07,5,-1.9463,-2.0577,2.0577,0.5601,0.926,0.2412,0.4005,0.061096,,
C2_full_p07_k4,C2,full,p07,4,-1.6164,-1.8288,1.8288,0.5573,0.9086,0.2666,0.4295,0.057808,,
C2_full_p07_k7,C2,full,p07,7,-2.8535,-1.9377,1.9377,0.56,0.9118,0.2537,0.4055,0.058074,,
C2_full_p07_k6,C2,full,p07,6,-1.4076,-1.8917,1.8917,0.5909,0.9303,0.2752,0.4242,0.063393,,
C2_full_p08_k0,C2,full,p08,0,-3.0102,-2.0329,2.0329,0.5521,0.9112,0.37,0.4254,0.035284,,
C2_full_p08_k1,C2,full,p08,1,-3.2615,-1.8667,1.8667,0.5755,0.9426,0.3765,0.4555,0.040167,,
C2_full_p08_k2,C2,full,p08,2,-3.3632,-2.0504,2.0504,0.5441,0.9394,0.3973,0.5158,0.034775,,
C2_full_p08_k3,C2,full,p08,3,-3.2415,-2.0319,2.0319,0.5741,0.931,0.3365,0.5179,0.046655,,
C2_full_p08_k4,C2,full,p08,4,-1.9262,-2.1052,2.1052,0.5399,0.9147,0.3881,0.3952,0.041625,,
C2_full_p08_k5,C2,full,p08,5,-4.6026,-1.8802,1.8802,0.5642,0.9517,0.3536,0.3802,0.041697,,
